character_id,voice_actor_id,voice_actor_name,voice_actor_language
254557,77791,"Dunn, Shakyra",English
254557,75781,"Barros, Bia",Portuguese (BR)
255658,7914,"Saitou, Jirou",Japanese
255658,1099,"Briggs, Guilherme",Portuguese (BR)
255658,67730,"Desco, Esteban",Spanish
255658,78588,"Gabriel, Rayner",English
255658,69615,"Garranchan, Rayner",English
255986,10571,"Tone, Kentarou",Japanese
255986,57822,"Oliveira, Stiven",Portuguese (BR)
255986,60071,"Garcia, Andrés",Spanish
244931,97,"Toriumi, Kousuke",Japanese
244931,66949,"Carrillo, Jaime Alberto",Spanish
244931,21467,"Noya, Gabriel",Portuguese (BR)
244931,76541,"Guzzi, Donald",English
249578,17209,"Kubo, Yurika",Japanese
249578,57478,"Miuller, Scarlet",Spanish
249578,55432,"Carvalho, Nina",Portuguese (BR)
249578,76569,"Johnson, Meagan",English
249579,53108,"Tsuchiya, Rio",Japanese
249579,63795,"Estrada, Azucena",Spanish
249579,72617,"Jardim, Linn",Portuguese (BR)
249579,77526,"Kong, Nickolette",English
249580,12652,"Akasaki, Chinatsu",Japanese
249580,59309,"Huerta, Sofía",Spanish
249580,76568,"Pasion, Abby",English
249580,28537,"Menezes, Erika",Portuguese (BR)
253177,7695,"Eguchi, Takuya",Japanese
253177,77584,"Portilo, Josh",English
253177,55712,"Mendonça, Fernando",Portuguese (BR)
253177,73670,"Corona, Armando",Spanish
252321,195,"Inoue, Kikuko",Japanese
252321,45388,"Macêdo, Lhays",Portuguese (BR)
252321,62222,"Navarro, Alexa",Spanish
213638,64337,"Terasawa, Momoka",Japanese
213638,60520,"Lea, Morgan",English
213636,55585,"Umeda, Shuuichirou",Japanese
213636,59206,"Thelwell, Kevin D.",English
213639,35511,"Wakayama, Shion",Japanese
213639,66011,"Mageto, Bev",English
213637,48506,"Tono, Hikaru",Japanese
213637,60509,"Mellon, Trisha",English
213644,14441,"Uesaka, Sumire",Japanese
213644,59222,"Sudberg, Corinne",English
252619,26063,"Ueda, Reina",Japanese
252619,51273,"McClain, Meg",English
252618,47439,"Kobayashi, Chiaki",Japanese
252618,72950,"Allison, Conner",English
255180,11404,"Morohoshi, Sumire",Japanese
255180,74804,"Marano, Rebecca",English
254054,32943,"Sekine, Akira",Japanese
254054,50419,"Van Sistine, Natalie",English
252616,15743,"Oosaka, Ryouta",Japanese
252616,42373,"Saab, Alejandro",English
252617,36812,"Waki, Azumi",Japanese
252617,9091,"Tipton, Alexis",English
255179,28045,"Nanami, Hiroki",Japanese
255179,61845,"Beck, Hollis",English
255450,64404,"Osanai, Reo",Japanese
255449,65590,"Tsukishima, Mayumi",Japanese
